#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR10298819_assembly.fasta	1	1313207	1314955	-	MSBA	1-1749/1749	===============	0/0	100.00	84.96	megares	MEG_4061	Drugs:Multi-drug_resistance:Multi-drug_ABC_efflux_pumps:MSBA	
SRR10298819_assembly.fasta	10	84518	85216	+	CPXAR	1-699/699	===============	0/0	100.00	86.69	megares	MEG_2122	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10298819_assembly.fasta	10	85213	86579	+	CPXAR	1-1367/1374	===============	0/0	99.49	85.30	megares	MEG_2121	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10298819_assembly.fasta	15	1	630	-	KDPE	1-630/678	========/======	2/2	92.77	80.98	megares	MEG_3448	Drugs:Aminoglycosides:Aminoglycoside_efflux_pumps:KDPE	
SRR10298819_assembly.fasta	2	279966	280783	-	BACA	1-818/822	========/======	2/2	99.39	85.84	megares	MEG_1189	Drugs:Bacitracin:Undecaprenyl_pyrophosphate_phosphatase:BACA	
SRR10298819_assembly.fasta	3	72177	73688	-	GESC	1-1512/1512	===============	0/0	100.00	98.28	megares	MEG_3134	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESC	
SRR10298819_assembly.fasta	3	73651	76818	-	GESB	1-3168/3168	===============	0/0	100.00	99.53	megares	MEG_3133	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESB	
SRR10298819_assembly.fasta	3	76815	78041	-	GESA	1-1227/1227	===============	0/0	100.00	98.86	megares	MEG_3132	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESA	
SRR10298819_assembly.fasta	3	108690	109847	-	AMPH	1-1158/1158	===============	0/0	100.00	80.05	megares	MEG_729	Drugs:betalactams:Penicillin_binding_protein:AMPH	
SRR10298819_assembly.fasta	3	209089	212220	-	ACRB	1-3132/3150	========/======	2/2	99.40	85.61	megares	MEG_401	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRB	
SRR10298819_assembly.fasta	3	212243	213436	-	ACRA	1-1194/1194	===============	0/0	100.00	83.42	megares	MEG_399	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRA	
SRR10298819_assembly.fasta	3	374320	376221	-	PBP2	1-1902/1902	========/======	2/2	99.95	83.55	megares	MEG_5400	Drugs:betalactams:Penicillin_binding_protein:PBP2	
SRR10298819_assembly.fasta	4	43334	43966	+	CRP	1-633/633	===============	0/0	100.00	87.99	megares	MEG_2132	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CRP	
SRR10298819_assembly.fasta	4	420417	421602	+	EMRD	6-1191/1191	========/======	2/2	99.50	83.57	megares	MEG_2729	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRD	
SRR10298819_assembly.fasta	5	154241	157354	-	ACRD	1-3114/3114	===============	0/0	100.00	98.84	megares	MEG_404	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ACRD	
SRR10298819_assembly.fasta	5	350774	351379	+	PMRG	1-606/606	===============	0/0	100.00	100.00	megares	MEG_5802	Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRG	
SRR10298819_assembly.fasta	5	392015	393658	+	YOGI	1-1644/1644	========/======	7/10	99.70	80.41	megares	MEG_7842	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_ABC_efflux_pumps:YOGI	
SRR10298819_assembly.fasta	6	126101	126631	+	EMRR	1-531/531	===============	0/0	100.00	85.88	megares	MEG_2734	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:EMRR	
SRR10298819_assembly.fasta	6	126758	127930	+	EMRA	1-1173/1173	========/======	2/2	99.91	82.20	megares	MEG_2721	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRA	
SRR10298819_assembly.fasta	6	127947	129485	+	EMRB	1-1539/1539	===============	0/0	100.00	84.41	megares	MEG_2725	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRB	
SRR10298819_assembly.fasta	8	90381	90703	+	SOXS	1-323/324	===============	0/0	99.69	82.97	megares	MEG_6551	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_resistance_regulator:SOXS	
SRR10298819_assembly.fasta	9	92629	93498	-	ROBA	1-870/870	===============	0/0	100.00	81.38	megares	MEG_6082	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ROBA	
SRR10512520_assembly.fasta	1	37877	38314	-	AAC6-PRIME	1-438/438	===============	0/0	100.00	99.09	megares	MEG_296	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC6-PRIME	
SRR10512520_assembly.fasta	1	145782	146214	+	MARR	2-434/435	===============	0/0	99.54	82.22	megares	MEG_3663	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARR	
SRR10512520_assembly.fasta	1	146229	146618	+	MARA	1-390/390	===============	0/0	100.00	87.18	megares	MEG_3662	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARA	
SRR10512520_assembly.fasta	1	243915	245278	+	MDTK	1-1364/1374	========/======	2/2	99.20	80.66	megares	MEG_3759	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK	
SRR10512520_assembly.fasta	10	83139	84677	-	EMRB	1-1539/1539	===============	0/0	100.00	84.41	megares	MEG_2725	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRB	
SRR10512520_assembly.fasta	10	84694	85866	-	EMRA	1-1173/1173	========/======	2/2	99.91	82.37	megares	MEG_2721	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRA	
SRR10512520_assembly.fasta	10	85993	86523	-	EMRR	1-531/531	===============	0/0	100.00	85.69	megares	MEG_2734	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:EMRR	
SRR10512520_assembly.fasta	11	101590	102003	+	HNS	1-414/414	===============	0/0	100.00	89.37	megares	MEG_3271	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:HNS	
SRR10512520_assembly.fasta	12	12776	13593	-	BACA	1-818/822	========/======	2/2	99.39	85.84	megares	MEG_1189	Drugs:Bacitracin:Undecaprenyl_pyrophosphate_phosphatase:BACA	
SRR10512520_assembly.fasta	13	110741	111346	+	PMRG	1-606/606	===============	0/0	100.00	99.50	megares	MEG_5802	Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRG	
SRR10512520_assembly.fasta	13	152013	153656	+	YOGI	1-1644/1644	========/======	5/6	99.82	80.21	megares	MEG_7842	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_ABC_efflux_pumps:YOGI	
SRR10512520_assembly.fasta	14	80370	81068	+	CPXAR	1-699/699	===============	0/0	100.00	86.84	megares	MEG_2122	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10512520_assembly.fasta	14	81065	82431	+	CPXAR	1-1367/1374	===============	0/0	99.49	85.22	megares	MEG_2121	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10512520_assembly.fasta	15	50031	50703	+	KDPE	1-673/678	===============	0/0	99.26	80.98	megares	MEG_3448	Drugs:Aminoglycosides:Aminoglycoside_efflux_pumps:KDPE	
SRR10512520_assembly.fasta	15	113328	115229	+	PBP2	1-1902/1902	===============	0/0	100.00	83.12	megares	MEG_5400	Drugs:betalactams:Penicillin_binding_protein:PBP2	
SRR10512520_assembly.fasta	16	79691	80413	-	SDIA	1-723/723	===============	0/0	100.00	98.34	megares	MEG_6176	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:SDIA	
SRR10512520_assembly.fasta	2	78123	78992	+	ROBA	1-870/870	===============	0/0	100.00	81.38	megares	MEG_6082	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ROBA	
SRR10512520_assembly.fasta	2	402322	402644	+	SOXS	1-323/324	===============	0/0	99.69	82.66	megares	MEG_6551	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_resistance_regulator:SOXS	
SRR10512520_assembly.fasta	20	36163	36517	-	RAMA	21-375/375	===============	0/0	94.67	80.00	megares	MEG_6044	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_regulator:RAMA	
SRR10512520_assembly.fasta	3	43396	44028	+	CRP	1-633/633	===============	0/0	100.00	87.99	megares	MEG_2132	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CRP	
SRR10512520_assembly.fasta	3	427283	428468	+	EMRD	6-1191/1191	========/======	2/2	99.50	83.83	megares	MEG_2729	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRD	
SRR10512520_assembly.fasta	4	69475	71223	-	MSBA	1-1749/1749	===============	0/0	100.00	84.85	megares	MEG_4061	Drugs:Multi-drug_resistance:Multi-drug_ABC_efflux_pumps:MSBA	
SRR10512520_assembly.fasta	6	14286	15476	+	BCR	1-1191/1191	===============	0/0	100.00	80.52	megares	MEG_1210	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:BCR	
SRR10512520_assembly.fasta	6	121325	122047	-	BAER	1-723/723	===============	0/0	100.00	99.31	megares	MEG_1191	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAER	
SRR10512520_assembly.fasta	6	122044	123447	-	BAES	1-1404/1404	===============	0/0	100.00	98.93	megares	MEG_1194	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAES	
SRR10512520_assembly.fasta	6	124856	127936	-	MDTC	1-3081/3081	===============	0/0	100.00	99.12	megares	MEG_3750	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTC	
SRR10512520_assembly.fasta	6	127937	131059	-	MDTB	1-3123/3123	===============	0/0	100.00	98.91	megares	MEG_3748	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTB	
SRR10512520_assembly.fasta	6	131059	132300	-	MDTA	1-1242/1242	===============	0/0	100.00	99.52	megares	MEG_3744	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTA	
SRR10512520_assembly.fasta	6	242015	243439	+	MDTK	1-1425/1425	===============	0/0	100.00	99.16	megares	MEG_3760	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK	
SRR10512520_assembly.fasta	7	81602	82795	+	ACRA	1-1194/1194	===============	0/0	100.00	83.42	megares	MEG_399	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRA	
SRR10512520_assembly.fasta	7	82818	85949	+	ACRB	1-3132/3150	========/======	2/2	99.40	85.70	megares	MEG_401	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRB	
SRR10512520_assembly.fasta	7	185202	186359	+	AMPH	1-1158/1158	===============	0/0	100.00	80.05	megares	MEG_729	Drugs:betalactams:Penicillin_binding_protein:AMPH	
SRR10512520_assembly.fasta	7	216873	218099	+	GESA	1-1227/1227	===============	0/0	100.00	98.70	megares	MEG_3132	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESA	
SRR10512520_assembly.fasta	7	218096	221263	+	GESB	1-3168/3168	===============	0/0	100.00	99.46	megares	MEG_3133	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESB	
SRR10512520_assembly.fasta	8	154748	157861	-	ACRD	1-3114/3114	===============	0/0	100.00	98.84	megares	MEG_404	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ACRD	
SRR10963169_assembly.fasta	1	72183	73052	+	ROBA	1-870/870	===============	0/0	100.00	81.38	megares	MEG_6082	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ROBA	
SRR10963169_assembly.fasta	1	398167	398489	+	SOXS	1-323/324	===============	0/0	99.69	82.97	megares	MEG_6551	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_resistance_regulator:SOXS	
SRR10963169_assembly.fasta	11	13622	13976	+	RAMA	21-375/375	===============	0/0	94.67	80.00	megares	MEG_6044	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_regulator:RAMA	
SRR10963169_assembly.fasta	11	76630	78531	-	PBP2	1-1902/1902	===============	0/0	100.00	83.28	megares	MEG_5400	Drugs:betalactams:Penicillin_binding_protein:PBP2	
SRR10963169_assembly.fasta	12	57094	58518	-	MDTK	1-1425/1425	===============	0/0	100.00	99.09	megares	MEG_3760	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK	
SRR10963169_assembly.fasta	14	36284	37006	+	SDIA	1-723/723	===============	0/0	100.00	98.89	megares	MEG_6176	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:SDIA	
SRR10963169_assembly.fasta	15	1610	2023	+	HNS	1-414/414	===============	0/0	100.00	88.89	megares	MEG_3271	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:HNS	
SRR10963169_assembly.fasta	16	14851	16041	+	BCR	1-1191/1191	===============	0/0	100.00	80.61	megares	MEG_1210	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:BCR	
SRR10963169_assembly.fasta	17	27633	29381	-	MSBA	1-1749/1749	===============	0/0	100.00	84.85	megares	MEG_4061	Drugs:Multi-drug_resistance:Multi-drug_ABC_efflux_pumps:MSBA	
SRR10963169_assembly.fasta	2	11426	12611	-	EMRD	6-1191/1191	========/======	2/2	99.50	83.49	megares	MEG_2729	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRD	
SRR10963169_assembly.fasta	2	393769	394401	-	CRP	1-633/633	===============	0/0	100.00	88.15	megares	MEG_2132	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CRP	
SRR10963169_assembly.fasta	20	12730	13547	-	BACA	1-818/822	========/======	2/2	99.39	85.84	megares	MEG_1189	Drugs:Bacitracin:Undecaprenyl_pyrophosphate_phosphatase:BACA	
SRR10963169_assembly.fasta	22	66352	67050	+	CPXAR	1-699/699	===============	0/0	100.00	86.84	megares	MEG_2122	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10963169_assembly.fasta	22	67047	68413	+	CPXAR	1-1367/1374	===============	0/0	99.49	85.37	megares	MEG_2121	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10963169_assembly.fasta	27	36838	38079	+	MDTA	1-1242/1242	===============	0/0	100.00	99.36	megares	MEG_3744	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTA	
SRR10963169_assembly.fasta	27	38079	41201	+	MDTB	1-3123/3123	===============	0/0	100.00	98.97	megares	MEG_3748	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTB	
SRR10963169_assembly.fasta	27	41202	44282	+	MDTC	1-3081/3081	===============	0/0	100.00	99.71	megares	MEG_3750	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTC	
SRR10963169_assembly.fasta	27	45691	47094	+	BAES	1-1404/1404	===============	0/0	100.00	98.79	megares	MEG_1194	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAES	
SRR10963169_assembly.fasta	27	47091	47813	+	BAER	1-723/723	===============	0/0	100.00	98.62	megares	MEG_1191	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAER	
SRR10963169_assembly.fasta	3	31055	31487	+	MARR	2-434/435	===============	0/0	99.54	82.22	megares	MEG_3663	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARR	
SRR10963169_assembly.fasta	3	31502	31857	+	MARA	1-356/390	==============.	0/0	91.28	89.61	megares	MEG_3662	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARA	
SRR10963169_assembly.fasta	3	126218	127581	+	MDTK	1-1364/1374	========/======	2/2	99.20	80.81	megares	MEG_3759	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK	
SRR10963169_assembly.fasta	31	50677	51314	+	KDPE	1-638/678	========/======	2/2	93.95	81.38	megares	MEG_3448	Drugs:Aminoglycosides:Aminoglycoside_efflux_pumps:KDPE	
SRR10963169_assembly.fasta	34	14173	17304	-	ACRB	1-3132/3150	========/======	2/2	99.40	85.67	megares	MEG_401	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRB	
SRR10963169_assembly.fasta	34	17327	18520	-	ACRA	1-1194/1194	===============	0/0	100.00	83.50	megares	MEG_399	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRA	
SRR10963169_assembly.fasta	35	718	2361	-	YOGI	1-1644/1644	========/======	7/10	99.70	80.53	megares	MEG_7842	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_ABC_efflux_pumps:YOGI	
SRR10963169_assembly.fasta	5	27540	30653	-	ACRD	1-3114/3114	===============	0/0	100.00	99.04	megares	MEG_404	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ACRD	
SRR10963169_assembly.fasta	5	269175	269780	+	PMRG	1-606/606	===============	0/0	100.00	99.50	megares	MEG_5802	Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRG	
SRR10963169_assembly.fasta	6	136253	137791	-	EMRB	1-1539/1539	===============	0/0	100.00	84.21	megares	MEG_2725	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRB	
SRR10963169_assembly.fasta	6	137808	138980	-	EMRA	1-1173/1173	========/======	2/2	99.91	82.54	megares	MEG_2721	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRA	
SRR10963169_assembly.fasta	6	139107	139637	-	EMRR	1-531/531	===============	0/0	100.00	85.69	megares	MEG_2734	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:EMRR	
SRR10963169_assembly.fasta	7	141112	141549	-	AAC6-PRIME	1-438/438	===============	0/0	100.00	97.94	megares	MEG_296	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC6-PRIME	
SRR10963169_assembly.fasta	8	41086	42597	-	GESC	1-1512/1512	===============	0/0	100.00	98.28	megares	MEG_3134	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESC	
SRR10963169_assembly.fasta	8	42560	45727	-	GESB	1-3168/3168	===============	0/0	100.00	99.24	megares	MEG_3133	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESB	
SRR10963169_assembly.fasta	8	45724	46950	-	GESA	1-1227/1227	===============	0/0	100.00	99.10	megares	MEG_3132	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:GESA	
SRR10995705_assembly.fasta	1	104194	105063	-	ROBA	1-870/870	===============	0/0	100.00	81.61	megares	MEG_6082	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ROBA	
SRR10995705_assembly.fasta	10	143862	146993	-	ACRB	1-3132/3150	========/======	2/2	99.40	85.16	megares	MEG_401	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRB	
SRR10995705_assembly.fasta	10	147016	148209	-	ACRA	1-1194/1194	===============	0/0	100.00	83.17	megares	MEG_399	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRA	
SRR10995705_assembly.fasta	12	151547	152732	+	EMRD	6-1191/1191	========/======	2/2	99.50	83.23	megares	MEG_2729	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRD	
SRR10995705_assembly.fasta	13	20561	21799	+	MDTA	1-1242/1242	========/======	1/3	99.76	97.02	megares	MEG_3744	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTA	
SRR10995705_assembly.fasta	13	21799	24921	+	MDTB	1-3123/3123	===============	0/0	100.00	96.77	megares	MEG_3748	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTB	
SRR10995705_assembly.fasta	13	24922	28002	+	MDTC	1-3081/3081	===============	0/0	100.00	96.72	megares	MEG_3750	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTC	
SRR10995705_assembly.fasta	13	29411	30814	+	BAES	1-1404/1404	===============	0/0	100.00	95.73	megares	MEG_1194	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAES	
SRR10995705_assembly.fasta	13	30811	31520	+	BAER	1-710/723	===============	0/0	98.20	92.39	megares	MEG_1191	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAER	
SRR10995705_assembly.fasta	14	47044	48944	+	PBP2	1-1901/1902	===============	0/0	99.95	83.17	megares	MEG_5400	Drugs:betalactams:Penicillin_binding_protein:PBP2	
SRR10995705_assembly.fasta	14	106954	107308	-	RAMA	21-375/375	===============	0/0	94.67	80.00	megares	MEG_6044	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_regulator:RAMA	
SRR10995705_assembly.fasta	15	73590	74956	-	CPXAR	1-1367/1374	===============	0/0	99.49	85.52	megares	MEG_2119	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10995705_assembly.fasta	15	74953	75651	-	CPXAR	1-699/699	===============	0/0	100.00	86.84	megares	MEG_2122	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
SRR10995705_assembly.fasta	19	41381	42103	-	SDIA	1-723/723	===============	0/0	100.00	93.64	megares	MEG_6176	Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_pumps:SDIA	
SRR10995705_assembly.fasta	2	288239	289774	-	EMRB	1-1539/1539	========/======	1/3	99.81	84.53	megares	MEG_2725	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRB	
SRR10995705_assembly.fasta	2	289791	290963	-	EMRA	1-1173/1173	========/======	2/2	99.91	82.79	megares	MEG_2721	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRA	
SRR10995705_assembly.fasta	2	291090	291620	-	EMRR	1-531/531	===============	0/0	100.00	85.31	megares	MEG_2734	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:EMRR	
SRR10995705_assembly.fasta	21	35861	36466	-	PMRG	1-606/606	===============	0/0	100.00	95.55	megares	MEG_5802	Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRG	
SRR10995705_assembly.fasta	3	289615	290004	-	MARA	1-390/390	===============	0/0	100.00	87.69	megares	MEG_3662	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MARA	
